,Título da Notícia,Tema,URL
1924,"
Dilma só condenou ataques após pedido da França, diz história falsa
",politica,www.boatos.org/politica/dilma-se-manifestou-sobre-ataque-depois-de-pedido.html
1925,"
Ricky Martin morreu: cantor é vítima de boato na internet
",entretenimento,www.boatos.org/entretenimento/ricky-martin-morreu-cantor-e-vitima-de-boato-na-internet.html
1926,"
Mentira: FHC é escolhido homem do ano
",politica,www.boatos.org/politica/mentira-fhc-e-escolhido-homem-ano.html
1927,"
Boato diz que Lula faz tratamento sigiloso contra um novo câncer
",politica,www.boatos.org/politica/boato-diz-que-lula-faz-tratamento-sigiloso-contra-um-novo-cancer.html
1928,"
Mentira: estão vendendo água com tranquilizante no trânsito
",brasil,www.boatos.org/brasil/mentira-estao-vendendo-agua-com-tranquilizante-no-transito.html
1929,"
Vídeo falso mostra carro de ladrões de igreja sendo atingido por um raio
",brasil,www.boatos.org/brasil/video-falso-mostra-carro-de-ladroes-de-igreja-sendo-atingido-por-um-raio.html
1930,"
Retrospectiva 2014: os boatos que mais bombaram em 2014
",opiniao,www.boatos.org/opiniao/retrospectiva-2014-os-boatos-que-mais-bombaram-em-2014.html
1931,"
20 maiores boatos de 2014 pela escolha da redação do Boatos.org
",opiniao,www.boatos.org/opiniao/20-maiores-boatos-de-2014-pela-escolha-da-redacao-boatos-org.html
1932,"
Retrospectiva: o melhor de 2014 no Boatos.org, por Edgard Matsuki
",opiniao,www.boatos.org/opiniao/retrospectiva-o-melhor-de-2014-no-boatos-org-por-edgard-matsuki.html
1933,"
Retrospectiva: o melhor de 2014 no Boatos.org, por Kyene Becker
",opiniao,www.boatos.org/opiniao/retrospectiva-o-melhor-de-2014-no-boatos-org-por-kyene-becker.html
1934,"
Retrospectiva: o melhor de 2014 no Boatos.org, por André Packer
",opiniao,www.boatos.org/opiniao/retrospectiva-o-melhor-de-2014-no-boatos-org-por-andre-packer.html
1935,"
Retrospectiva: o melhor de 2014 no Boatos.org, por Ana Paula Schreider
",original,www.boatos.org/original/retrospectiva-o-melhor-de-2014-no-boatos-org-por-ana-paula-schreider.html
1936,"
Retrospectiva: o melhor de 2014 no Boatos.org, por Nicoly França
",opiniao,www.boatos.org/opiniao/retrospectiva-o-melhor-de-2014-no-boatos-org-por-nicoly-franca.html
1937,"
Retrospectiva: o melhor de 2014 no Boatos.org, por Hellen Bizerra
",opiniao,www.boatos.org/opiniao/retrospectiva-o-melhor-de-2014-no-boatos-org-por-hellen-bizerra.html
1938,"
Fake: general Mário Márcio denuncia criação de exército da Unasul
",brasil,www.boatos.org/brasil/fake-general-mario-marcio-denuncia-criacao-de-exercito-da-unasul.html
1939,"
Lorota: Curitiba tem iluminação de natal similar a um pênis
",brasil,www.boatos.org/brasil/lorota-curitiba-tem-iluminacao-de-natal-similar-um-penis.html
1940,"
Balela: vítima quebra os dentes de assaltante e tem que pagar prótese
",brasil,www.boatos.org/brasil/balela-vitima-quebra-os-dentes-de-assaltante-e-tem-que-pagar-protese.html
1941,"
Boato diz que Charlie Sheen voltará à série Two and a Half Men
",entretenimento,www.boatos.org/entretenimento/boato-diz-que-charlie-sheen-voltara-serie-two-half-men.html
1942,"
Alerta falso: procura-se filha do Vilsão professor de Jiu jitsu
",brasil,www.boatos.org/brasil/alerta-falso-procura-se-filha-vilsao-professor-de-jiu-jitsu.html
1943,"
Pena por ler Bíblia na Arábia Saudita é ter mãos cortadas #boato
",religiao,www.boatos.org/religiao/mentira-pena-por-ler-biblia-na-arabia-saudita-e-ter-maos-cortadas.html
1944,"
Balela: imprensa esconde protesto contra Dilma em São Paulo
",politica,www.boatos.org/politica/balela-imprensa-esconde-protesto-contra-dilma-em-sao-paulo.html
1945,"
Vídeo falso alerta para Tsunami que matará grande parte da Terra
",religiao,www.boatos.org/religiao/video-falso-alerta-para-tsunami-que-matara-grande-parte-da-terra.html
1946,"
Juiz dá voz de prisão a atendente do McDonald’s, diz lorota
",brasil,www.boatos.org/brasil/juiz-da-voz-de-prisao-atendente-mcdonalds-diz-lorota.html
1947,"
Vídeo falso: Vereador mexe a cabeça no velório em Linhares (ES)
",brasil,www.boatos.org/brasil/video-falso-vereador-mexe-cabeca-no-velorio-em-linhares-es.html
1948,"
Mulher de 148 anos é encontrada viva no Peru #boato
",mundo,www.boatos.org/mundo/balela-mulher-de-148-anos-e-encontrada-viva-no-peru.html
1949,"
Morre Fidel Castro: notícia falsa fala da morte de ex-presidente de Cuba
",politica,www.boatos.org/politica/morre-fidel-castro-noticia-falsa-fala-da-morte-de-ex-presidente-de-cuba.html
1950,"
Vídeo falso: mãe cancela jogo de filho e ele fica possuído
",religiao,www.boatos.org/religiao/video-falso-mae-cancela-jogo-de-filho-e-ele-fica-possuido.html
1951,"
Alerta falso: não atenda ligações do (84) 9131-6949, ele clona seu celular
",tecnologia,www.boatos.org/tecnologia/alerta-falso-nao-atenda-ligacoes-84-9131-6949-ele-clona-seu-celular.html
1952,"
Mentira: estuprador com HIV ataca mulheres após pedir água
",brasil,www.boatos.org/brasil/mentira-estuprador-com-hiv-ataca-mulheres-apos-pedir-agua.html
1953,"
Vídeo falso mostra fantasma no funeral de Roberto Bolaños, criador de Chaves
",entretenimento,www.boatos.org/entretenimento/video-falso-mostra-fantasma-no-funeral-de-roberto-bolanos-criador-de-chaves.html
1954,"
Missionária brasileira é morta por grupo terrorista, diz hoax
",religiao,www.boatos.org/religiao/missionaria-brasileira-e-morta-por-grupo-terrorista-diz-hoax.html
1955,"
Andressa Urach teve perna amputada, diz informação falsa
",entretenimento,www.boatos.org/entretenimento/andressa-urach-teve-perna-amputada-diz-informacao-falsa.html
1956,"
Hoax: lata com leptospirose causou morte do pai de Daniella Sarahyba
",saude,www.boatos.org/saude/hoax-lata-com-leptospirose-causou-morte-pai-de-daniella-sarahyba.html
1957,"
Chip Mondex: uma das maiores farsas da internet
",ciencia,www.boatos.org/ciencia/chip-mondex-uma-das-maiores-farsas-da-internet.html
1958,"
Informação errada: radar escondido dentro de cone gera multas em SC
",brasil,www.boatos.org/brasil/informacao-errada-radar-escondido-dentro-de-cone-gera-multas-em-sc.html
1959,"
Declaração garante privacidade de usuário no Facebook #boato
",tecnologia,www.boatos.org/tecnologia/mentira-declaracao-garante-privacidade-de-usuario-no-facebook.html
1960,"
Lorota: camiseta faz noiva ser abandonada no dia do casamento
",brasil,www.boatos.org/brasil/lorota-camiseta-faz-noiva-ser-abandonada-no-dia-casamento.html
1961,"
Notícia que fez vereadora tirar calcinha em Sergipe é falsa
",politica,www.boatos.org/politica/noticia-que-fez-vereadora-tirar-calcinha-em-sergipe-e-falsa.html
1962,"
Notícia falsa: Jovem se mata após ver conversa do WhatsApp em telão
",brasil,www.boatos.org/brasil/noticia-falsa-jovem-se-mata-apos-ver-conversa-whatsapp-em-telao.html
1963,"
Black Friday chega recheada de promoções falsas no Instagram
",tecnologia,www.boatos.org/tecnologia/black-friday-chega-recheada-de-promocoes-falsas-no-instagram.html
1964,"
Obama viajou para Marte algumas vezes, diz boato
",mundo,www.boatos.org/mundo/obama-viajou-para-marte-algumas-vezes-diz-boato.html
1965,"
Balela: vídeo mostra Dilma planejando assassinato de Eduardo Campos
",politica,www.boatos.org/politica/balela-video-mostra-dilma-planejando-assassinato-de-eduardo-campos.html
1966,"
Cantor Thiaguinho morre em acidente de carro, diz notícia falsa
",entretenimento,www.boatos.org/entretenimento/cantor-thiaguinho-morre-em-acidente-de-carro-diz-noticia-falsa.html
1967,"
História falsa: bebê Ícaro, de 2 anos, foi sequestrado em Sorocaba
",brasil,www.boatos.org/brasil/historia-falsa-bebe-icaro-de-2-anos-foi-sequestrado-em-sorocaba.html
1968,"
Informação errada: Terra está próxima da 6ª extinção em massa
",ciencia,www.boatos.org/ciencia/informacao-errada-terra-esta-proxima-da-6a-extincao-em-massa.html
1969,"
Notícia falsa: Fábio de Melo é considerado ex-padre após criticar Maria
",religiao,www.boatos.org/religiao/noticia-falsa-fabio-de-melo-e-considerado-ex-padre-apos-criticar-maria.html
1970,"
Lenda: telefone celular no modo avião carrega duas vezes mais rápido
",tecnologia,www.boatos.org/tecnologia/lenda-telefone-celular-no-modo-aviao-carrega-duas-vezes-mais-rapido.html
1971,"
Mentira: papa Francisco desmascara socialismo em entrevista
",religiao,www.boatos.org/religiao/mentira-papa-francisco-desmascara-socialismo-em-entrevista.html
